aplikasi	B-ASPECT
banyak	O
bantu	O
cs	O
cepat	O
tanggap	O
sangat	O
ramah	O

nyaman	O
jalan	O

solusi	O
baik	O

aplikasi	O
guna	O
banget	O
kalau	O
tengah	O
malam	O
laper	O
pakek	O
aplikasi	B-ASPECT
terus	O
promo	O
sangat	O
bantu	O
uang	O
tidak	O
cukup	O

motor	O
gojek	B-ORG
mobil	O
gojek	B-ORG

yaa	O
pesan	O
motor	O
dapat	O
daerah	O
jauh	O
aja	O
situ	O
trs	O
titik	O
kalau	O
d	O
lihat	O
jrak	O
memang	O
dekat	O
tpi	O
putar	O
nyebrang	O
lewat	O
jembata	O
kendara	O
sebrang	O
sungai	O
jarak	O
jemput	O
malah	O
lbih	O
jauh	O
dri	O
jarak	O
tuju	O
sering	O
kena	O
cancel	O
kemudi	O

baik	O

kecewa	O
banget	O
pokok	O

good	O
apk	O

sangat	O
bantu	O

antar	O
lebih	O
cepat	O
jam	O
tentu	O

bagus	O

layan	B-ASPECT
cepat	O

sangat	O
sangat	O
baik	O

urusin	O
mitra	O
mitra	O
lo	O
bener	O
woi	O
sekarang	O
nyari	O
driver	B-ASPECT
susah	O
sekali	O
dapet	O
udah	O
nunggu	O
lama	O
driver	B-ASPECT
enak	O
cancel	O
lo	O
pikir	O
user	O
lo	O
semua	O
anggur	O
tidak	O
peduli	O
ama	O
waktu	O
kalau	O
tidak	O
jaga	O
hubung	O
mitra	O
user	O
eos	O
aja	O
sono	O

mohon	O
riwayat	O
beri	O
terang	O
nomor	O
plat	O
kendara	O
nama	O
driver	B-ASPECT
jadi	O
tidak	O
tuju	O
asal	O
tuju	O
akhir	O
harga	B-ASPECT
tanggal	O

aplikasi	B-ASPECT
grab	B-ORG
sangat	O
bantu	O
sangat	O
manfaat	O
semua	O
masyarakat	O
indonesia	O
guna	O

alhamdulillah	O
ramah	O
abang	O

oke	O
mantap	O

jangan	O
buat	O
double	O
order	O
grabfood	B-PROD
jadi	O
tunggu	O
terlalu	O
lama	O
buat	O
orang	O
customer	O
marah	O
marah	O
sering	O
beri	O
bintang	O

jelek	O
banget	O
susah	O
buka	O
aplikasi	B-ASPECT
kadang	O

lumayan	O
bagus	O

baik	O

good	O

salah	O
satu	O
driver	B-ASPECT
grab	B-ORG
luxury	O
kendara	O
maxus	O
nama	O
madang	O
kuswara	O
tidak	O
merecomendasikanya	O
karna	O
sikap	O
arogan	O
tidak	O
layak	O
jadi	O
driver	B-ASPECT
luxury	O
case	O
sangat	O
kesal	O
sekali	O
driver	B-ASPECT
sebut	O
pihak	O
grab	B-ORG
segera	O
tindak	O
lanjut	O
driver	B-ASPECT
sebut	O

aplikasi	B-ASPECT
maxim	B-ORG
nabire	O
sangat	O
buruk	O
teman	O
nabire	O
jangan	O
mau	O
guna	O
jasa	O
aplikasi	B-ASPECT
maxim	B-ORG
driver	B-ASPECT
suka	O
tolak	O
order	O
suka	O
ngechat	O
naikin	O
harga	B-ASPECT
order	O
kali	O
lipat	O
baru	O
mau	O
terima	O
order	O
aplikasi	B-ASPECT
sama	O
driver	B-ASPECT
minta	O
baru	O
mau	O
jemput	O
driver	B-ASPECT
maxim	B-ORG
nabire	O
terlalu	O
parah	O
mohon	O
teman	O
jangan	O
mau	O
naik	O
naik	O
maxim	B-ORG
nabire	O

ngambil	O
potong	O
gede	O
driver	B-ASPECT
kecil	O
driver	O
cuma	O
dpt	O
potong	O
persen	O
driver	B-ASPECT
jadi	O
driver	B-ASPECT
rb	O
terus	O
kalau	O
order	O
degan	O
argo	O
tiap	O
order	O
rb	O
jadi	O
rb	O
kali	O
trip	O
rb	O
potong	O
persen	O
terus	O
potong	O
lag	O
kalau	O
ikut	O
hemat	O
rb	O
per	O
order	O
parah	O
makin	O
kesini	O
makin	O
parah	O
terus	O
driver	B-ASPECT
dpt	O
apa	O
motor	O
punya	O
sendiri	O
oli	O
ban	O
ganti	O
sendiri	O
bayar	O
stnk	O
bayar	O
pajak	O
sendiri	O
knp	O
jadi	O
begini	O
makin	O
parah	O
grab	B-ORG
ambil	O
potong	O
driver	B-ASPECT

sangat	O
bagus	O
sangat	O
cocok	O
pergi	O
kmna	O
mana	O
sangat	O
cepat	O

lambat	O

terlalu	O
mahal	O

sangat	O
bantu	O

bagus	O

bagus	O

sangat	O
bantu	O

aplikasi	B-ASPECT
bagus	O
iklan	O
jangan	O
nyusahin	O
dong	O

grabb	O
bike	O
hemat	O
bulan	O
juni	O
jarak	O
km	O
rumah	O
st	O
cikampek	O
rp	O
sekarang	O
bulan	O
juli	O
jadi	O
rp	O
ko	O
ubah	O
ko	O
ngga	O
konsisten	O
jadi	O
kecewa	O

alhamdulillah	O
grab	B-ORG
makin	O
baik	O

mantab	O

kok	O
diskon	O
lebih	O
diskon	O
hehehe	O
x	O

tx	O
u	O
antar	O
cepat	O

alhamdulillah	O
sangat	O
bantu	O

sangan	O
bantu	O

dtg	O
cepat	O
otw	O
cepat	O

sangat	O
mudah	O
guna	O
sangat	O
bantu	O
sekali	O

bayar	O
mahal	O
mahal	O
dapat	O
kendara	O
listrik	O
sempit	O
buat	O
duduk	O
pegal	O
pegal	O

sangat	O
bantu	O

nyaman	O
ramah	O
puas	O
sekali	O

sya	O
sangat	O
puas	O

oke	O

suka	O
pencet	O
sendiri	O
aplikasi	B-ASPECT
padahal	O
tumpang	O
blom	O
naik	O
udah	O
ubah	O
turun	O

mau	O
buka	O
grab	B-ORG
food	O
susah	O
mau	O
sen	O
grab	B-ORG
ride	O
ngelag	O
padahal	O
buka	O
aplikasi	B-ASPECT
lancar	O
aja	O
paling	O
parah	O
dulu	O
selalu	O
hemat	O
enak	O
buat	O
buat	O
pribadi	O
tidak	O
memliki	O
buah	O
motor	O
andal	O
ojek	O
online	O
grab	B-ORG
kali	O
benar	O
kecewa	O
aplikasi	B-ASPECT
tiba	O
lot	O
lelet	O
banyak	O
error	O
bug	O
paling	O
parah	O
promo	O
selalu	O
jadi	O
hilang	O
jadi	O
kadang	O
meski	O
dekat	O
benar	O
buat	O
keluar	O
lbih	O

driver	B-ASPECT
baik	O

apa	O
login	O
aja	O
ribet	O
mau	O
buru	O
aja	O
susah	O
jadi	O

terlalu	O
mahal	O

tidak	O
suka	O
sama	O
sekali	O
driver	B-ASPECT
sama	O
aplikasi	B-ASPECT

top	O

metode	O
bayar	O
langgan	O
ribet	O

bercandaa	O

aplikasi	B-ASPECT
lelet	O
lama	O
order	O
gabung	O

bike	O
hemat	O
lumayan	O
bagus	O
cuma	O
ribu	O
hari	O

sangat	O
baik	O

cepat	O
ramah	O
sopan	O

mantap	O

grab	B-ORG
sangat	O
bantu	O
jalan	O
masyarakat	O

sangat	O
baik	O

kurir	O
busuk	O
gw	O
mesan	O
paket	O
instan	O
lewat	O
shopee	B-ORG
tidak	O
pick	O
up	O
kurir	O
ngambil	O
eh	O
gjd	O
ngambil	O
eh	O
gjd	O
niat	O
kerja	O
tidak	O
sih	O
gw	O
nunggu	O
jam	O
siang	O
sampe	O
jam	O
tidak	O
dipick	O
up	O
nih	O
gw	O
kasih	O
plat	O
nomor	O
mau	O
tidak	O

mantap	O

nga	O
sih	O
kalau	O
food	O
batesin	O
kadang	O
orang	O
nganter	O
titik	O
kalau	O
dapet	O
akhir	O
udah	O
keburu	O
nga	O
enak	O
makan	O
biar	O
dapet	O
anget	O
malah	O
dapet	O
adem	O
hampir	O
jam	O
kadang	O
baru	O
sampe	O
haduh	O
haduh	O
prioritas	O
kadang	O
sama	O

ko	O
dominos	O
pizza	O
papi	O
uno	O

aplikasi	B-ASPECT
jelek	O
sepanjnag	O
masa	O

grab	B-ORG
andal	O
transportku	O

nice	O

sangat	O
bantu	O

suka	O
banget	O
naik	O
grab	B-ORG
nyaman	O
sehat	O
terus	O
buat	O
bg	O
supir	O

apk	O
jelek	O
busuk	O
mahal	O
tergajelas	O
driver	B-ASPECT
tidak	O
sopan	O
semua	O
buruk	O

bagus	O

grab	B-ORG
sekarang	O
kejam	O
kasihan	O
sama	O
driver	B-ASPECT
sejak	O
potong	O
bukan	O
tambah	O
hasil	O
malah	O
rangin	O
dapat	O
sungguh	O
biadab	O

bagus	O

jujur	O
kecewa	O
banget	O
kali	O
dapet	O
driver	B-ASPECT
jutek	O
banget	O
bahkan	O
sampe	O
blg	O
harus	O
tidak	O
ambil	O
jauh	O
gausa	O
jadi	O
driver	B-ASPECT
lah	O
pak	O
kalau	O
gitu	O
naik	O
grab	B-ORG
bayar	O
tidak	O
gratis	O
tidak	O
ramah	O
samsek	O
layan	B-ASPECT
hampir	O
semua	O
driver	B-ASPECT
mobil	O
respon	O
ketus	O
padahal	O
sbg	O
langgan	O
usaha	O
ngehormatin	O
tlg	O
lah	O
baik	O
layan	B-ASPECT

banyak	O
bug	O

mntap	O

tiba	O
banget	O
tunggak	O
nyampe	O
rb	O
grab	B-ORG
car	O
liat	O
riwayat	O
tidak	O
jalan	O
aneh	O
banget	O
mau	O
dipake	O
app	O
bayar	O
dulu	O
tunggak	O
dong	O
dibenerin	O

baik	O

bagus	O
aman	B-ASPECT

sekarang	O
bayar	O
grab	B-ORG
jadi	O
mahal	O
kaya	O
kemarin	O
sekarang	O
harga	B-ASPECT
naik	O

mudah	O
tranportasi	O
d	O
butuh	O

driver	B-ASPECT
sangat	O
ramah	O

ah	O
ngeselin	O
banget	O
update	O
tuh	O
beri	O
tanda	O
pilih	O
sekarang	O
kek	O
mau	O
mesen	O
karna	O
udah	O
buru	O
mesti	O
update	O
dulu	O

suka	O
banget	O
sama	O
aplikasi	B-ASPECT

sial	O
update	O
aja	O
lama	O

user	O
friendly	O

mantab	O

sering	O
banget	O
sh	O
error	O
buka	O
grabnya	O

hantar	O
sngat	O
sopan	O
sesuai	O
jadwal	O

baik	O

sorry	O
yeeee	O

baik	O

jalan	O
senang	O

good	O
job	O

kalau	O
usul	O
order	O
makan	O
wajib	O
lunas	O
bayar	O
makan	O
lewat	O
ovo	O
driver	B-ASPECT
tidak	O
rugi	O
makan	O
mahal	O
kasihan	O
kalau	O
tanggung	O
order	O
makan	O
cancel	O
mohon	O
perhati	O

bantu	O

grab	B-ORG
bagus	O

mudah	O
cepat	O

baik	O

harus	O
fitur	O
batal	O
pesan	O
detik	O
pertama	O
kesumen	O
batal	O
pesan	O
cepat	O
mungkin	O
salah	O
waktu	O
mesan	O
rugi	O
pihak	O
ojok	O
jual	O
sangat	O
repot	O

awal	O
voucher	O
promo	O
ongkir	O
ribu	O
mau	O
pilih	O
menu	O
makan	O
tiba	O
hilang	O
voucher	O
padahal	O
baru	O
selang	O
beberapa	O
menit	O
lihat	O
kalau	O
masa	O
laku	O
lama	O
kalau	O
mau	O
ngasih	O
bener	O
neng	O
dapet	O
voucher	O
biar	O
biaya	O
ongkir	O
eh	O
malah	O
tiba	O
hilang	O
gitu	O
aja	O

tepat	O
waktu	O

mantap	O
bagus	O
jaket	O
kusam	O
ksih	O

aplikasi	B-ASPECT
tidak	O
jelas	O
sinyal	O
bagus	O
g	O
buka	O

mantap	O

bagus	O

oke	O

buat	O
kirim	O
barang	O
same	O
day	O
tidak	O
bayar	O
tunai	O

belanja	O
makin	O
enak	O
nyaman	O
ad	O
aplikasi	B-ASPECT
grab	B-ORG

sangat	O
bantu	O

bagus	O

gilak	O
juli	O
grab	B-ORG
mahal	O
banget	O
grab	B-ORG
hemat	O
rb	O

baik	O

baru	O
hari	O
ongkos	O
grab	B-ORG
hemat	O
naik	O
ribu	O
jadi	O
gan	O
jujur	O
kecewa	O
aaya	O
naik	O
grab	B-ORG
tiap	O
hari	O
kalau	O
kali	O
kan	O
hari	O
kerja	O
lama	O
hari	O
kerja	O
lebih	O
kurang	O
bulan	O
nambah	O
biaya	O
hadeuhh	O
gan	O
bukan	O
turun	O
malah	O
naik	O

ribet	O
mau	O
bayar	O
pake	O
qris	O
aja	O
hrus	O
scan	O
muka	O
kamera	O
hp	O
gw	O
rusak	O
coba	O
hp	O
malah	O
gabisa	O
pake	O
qris	O
padahal	O
akun	O
sama	O

ramah	O

aplikasi	B-ASPECT
mantap	O

sangat	O
bagus	O

bagus	O

praktis	O
cepat	O

langgan	O
sama	O
tidak	O
langgan	O
tidak	O
beda	O
sama	O
mahal	O
selalu	O
tidak	O
promo	O
jadi	O
beda	O
apa	O
coba	O
makan	O
mahal	O
transportasi	O
mending	O
pindah	O
apk	O
percuma	O
langgan	O
tetap	O
rugi	O
bayar	O
langgan	O
mahal	O
terus	O
semja	O
harga	B-ASPECT
tetap	O
mahal	O

grab	B-ORG
hemat	O
udah	O
tidak	O
sekarang	O
jadi	O

selalu	O
sen	O
sesuai	O
titik	O
jemput	O
otomatis	O
malah	O
ngarah	O
gg	O
belah	O
mls	O
banget	O
sampe	O
sering	O
dpet	O
omong	O
dri	O
driver	B-ASPECT
titik	O
jemput	O
benerin	O
mbak	O
gabisa	O
